id1,id2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
61,"999",59.9833333333333,-129.05,814,-1.8,13.4,-19.2,32.6,504,260,16.3,51.6,2272,825,7198,8,123,171,241,70,237,-50.1,31.2,9.9,397,134,56,17.1,262
62,"DK",59.8833333333333,-129.15,853,-1.7,13.1,-18.7,31.8,500,250,16.5,52.3,2219,792,7175,7,122,173,241,68,243,-50,31,10.1,394,139,57,17.17,239
63,"999",60.0333333333333,-129.033333333333,716,-1.9,14.1,-20.3,34.4,502,262,16.1,53.9,2398,903,7246,12,127,169,243,74,229,-50.3,32.1,9.8,408,142,57,15.25,315
64,"999",60.2833333333333,-128.9,899,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,315
65,"999",60.2833333333333,-128.916666666667,747,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,315
66,"DK",59.2833333333333,-129.866666666667,1089,-2.5,11,-16.6,27.7,751,291,10,37.9,2162,527,7468,4,109,172,237,65,477,-47.9,27.8,9.6,331,94,63,50.47,101
67,"DK",59.2166666666667,-129.733333333333,997,-2,11.6,-16.7,28.4,548,233,14.6,49.9,2081,606,7265,6,114,173,239,66,318,-48,28.9,10,351,140,60,27.13,136
68,"DK",59.2666666666667,-129.65,945,-1.7,11.8,-16.2,28,611,251,13.5,47.1,2029,629,7182,7,116,170,239,69,359,-48,29,10.8,357,138,59,32.7,147
69,"999",60.1666666666667,-130,1028,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,147
70,"999",60.1833333333333,-129.883333333333,884,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,147
71,"DK",59.2666666666667,-129.416666666667,845,-1.3,13,-17.2,30.2,528,230,16.6,56.5,2058,790,7003,7,125,173,243,70,282,-49,30.7,10,394,166,59,20.24,236
72,"DK",59.2833333333333,-129.45,884,-1.4,12.7,-17.1,29.8,555,239,15.5,53.1,2056,749,7053,6,123,173,242,69,303,-48.6,30.2,9.6,388,155,59,23.92,211
73,"DK",59.2666666666667,-129.366666666667,830,-1.2,13.1,-17.1,30.3,504,224,17.5,58.7,2052,811,6968,7,126,172,243,71,265,-49.3,30.8,9.2,399,171,59,17.15,250
74,"DK",59.3833333333333,-129.133333333333,747,-1,13.9,-17.6,31.5,422,192,21.3,72.5,2089,902,6904,12,127,172,243,71,217,-49.8,31.9,10.1,462,244,57,5.64,310
75,"DK",59.9333333333333,-128.433333333333,617,-1.9,14.8,-21.1,35.9,502,270,16.1,54.7,2487,986,7240,17,130,169,244,75,216,-51.2,33.3,9.8,465,171,58,13.04,372
76,"DK",59.6833333333333,-133.633333333333,936,-1.9,11.2,-17.2,28.5,442,188,18.3,59.8,2029,571,7246,2,113,175,238,63,251,-44.1,28.6,10,353,153,62,17.73,117
77,"999",60.4,-134.083333333333,762,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117
78,"999",60.7333333333333,-135.05,647,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117
79,"999",60.7333333333333,-135.15,823,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117
80,"999",60.2833333333333,-134.2,952,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117
81,"999",60.8166666666667,-135.4,799,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117
82,"999",60.8166666666667,-135.2,701,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117
83,"999",60.8833333333333,-135.333333333333,693,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117
84,"999",60.7166666666667,-135.016666666667,655,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117
85,"999",60.1333333333333,-128.8,680,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117
86,"999",60.1666666666667,-128.8,701,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117
87,"999",60.9333333333333,-129.25,799,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117
88,"999",61.05,-129.266666666667,884,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117
89,"999",61.1833333333333,-129.466666666667,914,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117
90,"999",61.5166666666667,-129.916666666667,945,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117
91,"999",62.1666666666667,-133.5,777,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117
92,"999",62.1666666666667,-133.533333333333,732,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117
93,"999",62.2,-134.416666666667,625,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117
94,"999",62.25,-136.333333333333,586,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117
95,"999",62.1833333333333,-136.283333333333,678,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117
96,"999",63.3666666666667,-136.716666666667,571,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117
97,"999",63.3,-136.583333333333,671,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117
98,"999",63.1666666666667,-136.5,823,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117
99,"999",62.6666666666667,-136.8,564,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117
100,"999",62.4833333333333,-136.683333333333,518,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117
101,"FN",58.8666666666667,-125.383333333333,853,-1.2,13.5,-17.4,30.9,485,280,18.1,48.1,2092,840,6988,8,121,175,240,65,198,-48.1,31.6,10.4,458,145,56,12.94,269
102,"NCH",54.1833333333333,-124.216666666667,850,2.1,13.8,-11.6,25.5,572,242,21.2,57.2,1217,1013,5772,15,143,161,249,88,255,-42.6,32.7,11.5,534,245,59,14.05,350
103,"NCH",54.2666666666667,-124.25,765,2.4,14.1,-11.5,25.6,555,232,22.3,60.9,1194,1064,5687,17,146,161,250,89,244,-42.6,33.1,11.1,542,263,58,11.07,383
104,"CP",54.35,-124.283333333333,774,2.3,14.2,-11.4,25.5,535,222,23.1,63.8,1192,1050,5703,17,147,161,251,90,237,-42.6,32.9,11.1,533,264,59,10.27,376
105,"CP",54.5,-124.116666666667,792,1.9,13.9,-12,26,582,230,20.5,60.6,1283,1018,5847,15,145,160,249,89,275,-42.5,32.7,11.4,522,244,61,16.67,356
106,"CP",54.5666666666667,-124.116666666667,756,2,14,-12.2,26.1,594,232,20.1,60.3,1274,1022,5833,15,143,163,247,85,281,-42.5,32.9,10.9,528,246,59,17.25,360
107,"CP",54.6,-124.133333333333,250,3.6,16.1,-11.8,27.8,598,232,22.8,69.2,1104,1372,5250,39,150,172,255,83,251,-42.3,35.6,10.8,629,341,55,3.01,588
108,"CP",54.6666666666667,-124.15,808,1.5,13.7,-12.4,26.1,623,238,18.5,57.4,1349,972,5984,14,141,164,247,83,310,-42.8,32.5,11.5,512,223,60,22.43,331
109,"CP",54.6666666666667,-124.133333333333,802,1.6,13.7,-12.4,26.1,624,239,18.6,57.4,1335,979,5958,14,141,164,247,83,308,-42.8,32.6,11.2,515,224,60,22.08,335
110,"CP",54.7333333333333,-124.15,844,1.4,13.6,-12.5,26.1,643,243,17.8,55.8,1365,951,6027,13,140,166,248,82,324,-43.1,32.2,10.8,503,208,61,25.48,320
111,"CP",54.7666666666667,-124.15,804,1.6,13.8,-12.4,26.2,651,246,17.9,56,1337,985,5954,14,143,164,249,85,324,-43,32.5,10.9,509,211,60,25.34,341
112,"CP",54.8166666666667,-124.133333333333,853,1.4,13.5,-12.4,25.9,676,254,16.8,53.1,1375,940,6054,13,140,167,249,83,345,-43.4,32.2,11,500,194,61,29.24,314
113,"CP",54.7333333333333,-124.183333333333,875,1.4,13.4,-12.4,25.9,642,245,17.7,54.8,1375,937,6054,12,141,164,249,85,324,-43.2,32,11.1,498,201,61,26,310
114,"CP",54.8666666666667,-124.166666666667,878,1.2,13.4,-12.7,26.1,705,262,15.9,51,1403,914,6117,12,138,167,247,80,366,-43.5,31.9,11.1,496,183,61,32.67,298
115,"CP",54.9,-124.15,933,0.9,13,-12.9,25.9,725,266,15,49,1448,861,6231,10,135,169,246,78,389,-43.9,31.5,11.1,485,170,61,36.2,266
116,"CP",54.95,-124.2,975,0.6,12.7,-13,25.8,775,279,13.7,45.7,1484,819,6330,9,132,170,245,74,428,-44.3,31.1,11.3,477,148,62,42.27,242
117,"CP",54.9833333333333,-124.25,975,0.6,12.8,-13,25.8,769,279,13.8,45.7,1484,820,6330,9,132,171,244,74,423,-44.2,31.1,11.2,477,150,62,41.62,242
118,"CP",55.0166666666667,-124.233333333333,1006,0.5,12.6,-13,25.6,770,280,13.6,44.9,1502,793,6385,10,130,172,244,72,429,-44.4,30.9,11.3,471,140,62,42.49,227
119,"CP",55.0833333333333,-124.216666666667,986,0.5,12.7,-12.9,25.5,749,272,14,46.6,1491,801,6360,10,130,173,243,70,414,-44.2,31,11.2,475,152,62,39.88,232
120,"CP",55.1833333333333,-124.233333333333,936,0.7,12.9,-12.9,25.8,691,258,15.5,50.1,1470,834,6295,11,133,172,245,74,371,-43.5,31.2,11.1,480,174,63,33.28,250
121,"CP",55.1833333333333,-124.266666666667,920,0.8,13,-12.8,25.8,689,257,15.6,50.5,1457,845,6266,11,134,171,245,74,368,-43.5,31.3,11.2,483,178,63,32.77,257
122,"CP",55.1833333333333,-124.233333333333,884,0.9,13.1,-12.8,25.9,689,257,15.9,51.1,1439,873,6205,11,136,169,245,76,363,-43.3,31.6,11.1,488,182,62,31.98,273
123,"CP",55.2166666666667,-124.233333333333,890,0.9,13.1,-12.8,25.9,690,257,15.8,50.9,1450,866,6227,12,135,169,245,75,365,-43.5,31.5,11,487,180,63,32.19,269
124,"FIN",55.2666666666667,-124.133333333333,933,0.7,12.9,-12.8,25.8,705,260,15.2,49.8,1474,840,6292,11,135,169,245,76,380,-43.6,31.2,11.3,477,170,63,34.9,254
125,"FIN",55.3666666666667,-124.033333333333,1006,0.4,12.7,-13.1,25.7,764,273,13.7,46.3,1513,798,6393,10,133,170,245,75,429,-43.7,30.7,11.1,461,141,64,42.62,232
126,"FIN",55.3666666666667,-124.05,957,0.6,12.9,-13.1,26,765,274,13.9,47.1,1491,832,6326,11,135,169,245,75,422,-43.5,31,11.1,470,146,63,41.59,252
127,"FIN",55.4,-124.033333333333,988,0.5,12.7,-13.1,25.8,763,275,13.7,46.1,1503,803,6374,10,134,169,245,75,423,-43.6,30.7,11.2,463,140,64,42.33,234
128,"FIN",55.4333333333333,-124.1,994,0.5,12.7,-13,25.7,741,274,14.1,46.1,1506,799,6382,10,132,169,244,76,405,-43.6,30.9,10.8,469,144,63,39.44,230
129,"FIN",55.45,-124.133333333333,920,0.7,13,-13.1,26,709,268,15.1,48.3,1471,847,6278,11,134,167,243,76,374,-43.3,31.3,11.1,483,165,63,34.46,258
130,"FIN",55.4666666666667,-124.15,887,0.9,13.1,-13.1,26.2,700,267,15.5,49.1,1453,868,6226,11,135,166,243,77,363,-43.1,31.5,10.9,489,170,62,32.7,270
131,"FIN",55.5166666666667,-124.15,884,0.8,13,-13.1,26.1,708,271,15.2,48.1,1470,857,6257,11,133,166,241,75,369,-43.3,31.6,10.8,492,168,62,33.12,263
132,"FIN",55.55,-124.166666666667,853,1,13.2,-13.2,26.4,675,268,16.2,49.3,1443,884,6194,11,136,164,241,77,338,-42.9,31.7,10.9,495,176,62,29.25,279
133,"FIN",55.55,-124.216666666667,886,0.8,13,-13.2,26.2,661,263,16.4,49.4,1456,857,6244,11,134,165,241,76,334,-43.2,31.5,10.8,491,177,62,28.41,262
134,"FIN",55.55,-124.216666666667,886,0.8,13,-13.2,26.2,661,263,16.4,49.4,1456,857,6244,11,134,165,241,76,334,-43.2,31.5,10.8,491,177,62,28.41,262
135,"FIN",55.6,-124.35,914,0.7,12.8,-13.1,25.8,667,279,16.1,45.7,1458,827,6281,10,131,165,239,73,327,-43.4,31.4,10.4,489,155,61,29.32,242
136,"FIN",55.6,-124.283333333333,914,0.8,12.6,-12.3,24.9,876,321,12.3,39.4,1421,815,6254,12,129,163,232,69,461,-43.4,31.6,11.6,492,119,61,49.56,234
137,"FIN",55.6333333333333,-124.333333333333,914,0.6,12.6,-13,25.6,722,300,14.7,42.2,1484,811,6328,10,127,164,233,69,359,-43.9,31.6,10.5,494,138,61,34.07,231
138,"FIN",55.6666666666667,-124.366666666667,914,0.4,12.2,-13,25.2,756,315,13.8,38.9,1502,774,6387,10,126,164,235,71,376,-44.1,31,11.2,481,109,62,39.33,206
139,"FIN",55.6666666666667,-124.366666666667,914,0.4,12.2,-13,25.2,756,315,13.8,38.9,1502,774,6387,10,126,164,235,71,376,-44.1,31,11.2,481,109,62,39.33,206
140,"FIN",55.6666666666667,-124.433333333333,948,0.4,12.5,-13.9,26.4,637,278,16.3,44.9,1528,788,6405,9,129,165,239,73,310,-44.1,31,10.2,477,152,62,27.84,218
141,"FIN",55.6833333333333,-124.5,960,0.2,12.4,-14.3,26.7,672,289,15.2,42.8,1572,775,6469,8,127,166,238,72,333,-44.8,31.1,10.6,479,141,61,31.13,210
142,"FIN",55.6833333333333,-124.55,1030,0,12,-14.2,26.2,649,285,15.4,42.2,1585,728,6545,7,124,167,237,70,324,-44.9,30.6,11.2,468,139,62,30.43,184
143,"FIN",55.6833333333333,-124.633333333333,1036,0,12,-14.1,26.1,644,283,15.5,42.3,1582,721,6549,6,123,167,237,70,322,-45,30.6,11.1,467,140,61,30.13,180
144,"FIN",55.7,-124.65,963,0.3,12.4,-14.1,26.6,629,278,16.3,44.7,1563,780,6454,8,128,166,240,73,306,-44.9,31,11.3,476,155,61,27.26,213
145,"FIN",55.7166666666667,-124.65,954,0.3,12.5,-14.1,26.6,613,274,16.8,45.6,1559,788,6441,8,129,166,240,74,296,-44.9,31.1,11.2,477,159,61,25.48,217
146,"FIN",55.7666666666667,-124.666666666667,856,0.7,13.1,-14,27.1,557,260,19.2,50.3,1519,868,6297,10,135,165,244,79,253,-44.4,31.6,10.8,487,187,61,18.49,267
147,"HH",56.4166666666667,-121.15,844,0.8,14.6,-14.5,29.1,479,287,22.5,50.8,1680,1062,6264,17,152,148,251,103,164,-46.8,31.6,11.7,471,145,63,10.95,399
148,"HH",56.5333333333333,-121.233333333333,823,0.8,14.7,-14.9,29.6,472,287,22.9,51.1,1676,1071,6244,18,150,150,249,99,157,-45.9,31.9,11.5,480,154,61,9.14,405
149,"HH",56.55,-121.316666666667,853,0.8,14.5,-14.8,29.3,472,289,22.8,50.2,1673,1048,6273,17,149,151,249,97,155,-45.7,31.8,11.7,476,148,61,9.61,390
150,"HH",56.6333333333333,-121.566666666667,914,0.7,14.4,-14.5,28.9,491,305,21.8,47.1,1663,1024,6297,16,147,153,249,96,159,-45.5,32,11.5,475,126,62,11.54,377
151,"HH",56.6833333333333,-121.683333333333,927,0.6,14.3,-14.4,28.7,484,303,22,47.1,1661,1006,6317,16,144,155,248,93,156,-45.6,31.9,11.5,477,134,61,10.57,367
152,"NCH",53.1333333333333,-122.15,960,3,13.9,-8.9,22.8,679,320,19.2,43.6,957,1042,5445,19,155,157,256,99,257,-39.4,31.9,11.5,524,159,62,25.95,368
153,"HH",56.7166666666667,-121.766666666667,942,0.6,14.2,-14.4,28.6,493,311,21.5,45.7,1659,995,6328,16,143,155,248,92,157,-45.5,31.8,11.8,475,121,62,11.8,360
154,"HH",56.05,-121.866666666667,552,2,15.4,-13.8,29.3,454,260,26.5,59.4,1482,1245,5824,28,153,154,253,99,150,-45.4,34,10.7,548,249,58,-1.69,506
155,"HH",56.1166666666667,-121.683333333333,530,1.8,15.5,-14.8,30.3,453,270,26.1,57.4,1565,1249,5902,29,152,155,252,97,142,-46,34.2,10.5,550,242,58,-1.94,511
156,"HH",56.1333333333333,-121.65,530,1.8,15.5,-14.9,30.4,447,268,26.3,57.9,1579,1248,5921,29,153,154,252,98,139,-46.1,34.2,10.7,549,242,58,-2.31,512
157,"HH",56,-122.133333333333,738,1.7,14.8,-13,27.8,578,284,20.3,51.9,1430,1116,5910,21,152,155,254,98,230,-43.7,32.6,11.3,505,173,60,16.81,427
158,"HH",56.0333333333333,-122.033333333333,774,1.6,14.6,-13.1,27.7,518,270,22.5,54,1445,1093,5957,20,150,157,253,96,196,-44.4,32.4,11.6,502,190,60,11.28,412
159,"HH",55.9666666666667,-121.866666666667,783,1.5,14.4,-13.1,27.6,531,274,21.7,52.7,1452,1074,5990,20,149,158,252,94,206,-44.7,32.5,11.4,502,184,60,12.83,400
160,"HH",55.8333333333333,-121.616666666667,805,1.5,14.3,-12.8,27.2,541,281,21.2,51.1,1471,1064,6017,19,149,156,252,96,212,-44.9,32.3,11.2,497,173,60,14.47,394
161,"HH",55.7666666666667,-121.583333333333,991,0.9,13.6,-12.5,26.1,648,303,16.9,44.9,1505,944,6204,16,146,157,253,95,291,-44.4,31,11.8,461,122,63,29.91,320
162,"HH",55.75,-121.583333333333,945,1.1,13.8,-12.5,26.3,643,302,17.3,45.9,1486,981,6137,17,148,156,254,98,284,-44.4,31.3,11.9,469,131,63,28.33,343
163,"MGR",55.1333333333333,-122.933333333333,652,2,14.3,-12.3,26.6,758,260,15.8,55.2,1296,1052,5831,18,150,161,251,90,393,-42.5,32.4,11,510,205,61,35.83,388
